Model,DPO4054
5.588e+08,-52.9281
5.600e+08,-52.1031
5.612e+08,-56.2344
5.625e+08,-60.3656
5.638e+08,-58.125
5.650e+08,-55.8844
5.662e+08,-53.9562
5.675e+08,-52.0281
5.688e+08,-55.2062
5.700e+08,-58.3813
5.713e+08,-58.55
5.725e+08,-58.7188
5.738e+08,-57.0219
5.750e+08,-55.3219
5.762e+08,-57.1187
5.775e+08,-58.9125
5.788e+08,-65.1031
5.800e+08,-71.2906
5.812e+08,-64.4031
5.825e+08,-57.5125
5.838e+08,-56.5562
5.850e+08,-55.6
5.862e+08,-54.5469
5.875e+08,-53.4906
5.888e+08,-55.7594
5.900e+08,-58.025
5.913e+08,-55.9469
5.925e+08,-53.8687
5.938e+08,-53.6187
5.950e+08,-53.3687
5.962e+08,-55.5312
5.975e+08,-57.6938
5.988e+08,-54.15
6.000e+08,-50.6031
6.012e+08,-52.825
6.025e+08,-55.0438
6.038e+08,-57.1219
6.050e+08,-59.2
6.063e+08,-54.4813
6.075e+08,-49.7594
6.088e+08,-50.9
6.100e+08,-52.0375
6.112e+08,-51.3
6.125e+08,-50.5625
6.138e+08,-51.475
6.150e+08,-52.3875
6.162e+08,-53.35
6.175e+08,-54.3125
6.188e+08,-56.3563
6.200e+08,-58.4
6.212e+08,-55.8094
6.225e+08,-53.2188
6.238e+08,-53.1875
6.250e+08,-53.1531
6.262e+08,-54.2375
6.275e+08,-55.3188
6.288e+08,-57.2219
6.300e+08,-59.1219
6.313e+08,-55.9688
6.325e+08,-52.8125
6.338e+08,-50.3875
6.350e+08,-47.9625
6.363e+08,-50.5094
6.375e+08,-53.0562
6.388e+08,-56.35
6.400e+08,-59.6437
6.413e+08,-57.85
6.425e+08,-56.0562
6.438e+08,-60.4312
6.450e+08,-64.8063
6.463e+08,-63.1594
6.475e+08,-61.5094
6.488e+08,-59.1313
6.500e+08,-56.75
6.512e+08,-57.4094
6.525e+08,-58.0688
6.538e+08,-54.5719
6.550e+08,-51.075
6.562e+08,-51.0625
6.575e+08,-51.05
6.588e+08,-56.9344
6.600e+08,-62.8156
6.612e+08,-59.2563
6.625e+08,-55.6938
6.638e+08,-58.6562
6.650e+08,-61.6187
6.662e+08,-56.475
6.675e+08,-51.3312
6.688e+08,-51.7563
6.700e+08,-52.1812
6.713e+08,-52.0875
6.725e+08,-51.9906
6.738e+08,-50.9875
6.750e+08,-49.9813
6.763e+08,-52.8
6.775e+08,-55.6187
6.788e+08,-58.3062
6.800e+08,-60.9937
6.813e+08,-62.9375
6.825e+08,-64.8812
6.838e+08,-60.4844
6.850e+08,-56.0844
6.862e+08,-58.8062
6.875e+08,-61.525
6.888e+08,-59.1594
6.900e+08,-56.7938
6.912e+08,-55.3594
6.925e+08,-53.9219
6.938e+08,-56.375
6.950e+08,-58.8281
6.962e+08,-57.8469
6.975e+08,-56.8625
6.988e+08,-54.1437
7.000e+08,-51.425
7.012e+08,-49.9406
7.025e+08,-48.4531
7.038e+08,-48.6031
7.050e+08,-48.75
7.063e+08,-48.9969
7.075e+08,-49.2437
7.088e+08,-51.2406
7.100e+08,-53.2344
7.113e+08,-51.5438
7.125e+08,-49.85
7.138e+08,-48.3813
7.150e+08,-46.9125
7.163e+08,-51.7812
7.175e+08,-56.6469
7.188e+08,-53.9375
7.200e+08,-51.225
7.212e+08,-54.4719
7.225e+08,-57.7156
7.238e+08,-57.8375
7.250e+08,-57.9562
7.262e+08,-55.8031
7.275e+08,-53.65
7.288e+08,-52.9594
7.300e+08,-52.2687
7.312e+08,-51.2625
7.325e+08,-50.2563
7.338e+08,-50.8469
7.350e+08,-51.4344
7.362e+08,-63.4875
7.375e+08,-75.5375
7.388e+08,-63.7469
7.400e+08,-51.9562
7.413e+08,-53.6063
7.425e+08,-55.2563
7.438e+08,-53.5344
7.450e+08,-51.8094
7.463e+08,-51.4156
7.475e+08,-51.0219
7.488e+08,-51.5063
7.500e+08,-51.9906
7.513e+08,-52.9906
7.525e+08,-53.9875
7.538e+08,-57.5656
7.550e+08,-61.1406
7.562e+08,-67.775
7.575e+08,-74.4094
7.588e+08,-63.2781
7.600e+08,-52.1469
7.612e+08,-52.2781
7.625e+08,-52.4062
7.638e+08,-56.4219
7.650e+08,-60.4375
7.662e+08,-58.9312
7.675e+08,-57.4219
7.688e+08,-56.2656
7.700e+08,-55.1063
7.712e+08,-55.5781
7.725e+08,-56.05
7.738e+08,-58.7188
7.750e+08,-61.3875
7.763e+08,-57.2719
7.775e+08,-53.1562
7.788e+08,-51.85
7.800e+08,-50.5406
7.813e+08,-51.9813
7.825e+08,-53.4188
7.838e+08,-50.6031
7.850e+08,-47.7875
7.863e+08,-51.375
7.875e+08,-54.9625
7.888e+08,-56.2563
7.900e+08,-57.55
7.913e+08,-55.7156
7.925e+08,-53.8781
7.938e+08,-52.9375
7.950e+08,-51.9969
7.962e+08,-50.7812
7.975e+08,-49.5625
7.988e+08,-49.7188
8.000e+08,-49.8719
8.012e+08,-51.4375
8.025e+08,-53
8.038e+08,-56.7094
8.050e+08,-60.4188
8.062e+08,-59.2156
8.075e+08,-58.0094
8.088e+08,-60.9594
8.100e+08,-63.9062
8.113e+08,-57.5625
8.125e+08,-51.2188
8.138e+08,-53.5719
8.150e+08,-55.925
8.163e+08,-57.5812
8.175e+08,-59.2344
8.188e+08,-59.1063
8.200e+08,-58.975
8.213e+08,-55.2875
8.225e+08,-51.6
8.238e+08,-53.4125
8.250e+08,-55.2219
8.263e+08,-56.7406
8.275e+08,-58.2594
8.288e+08,-59.6469
8.300e+08,-61.0312
8.312e+08,-57.9125
8.325e+08,-54.7938
8.338e+08,-54.1437
8.350e+08,-53.4937
8.362e+08,-56.2406
8.375e+08,-58.9844
8.388e+08,-62.3937
8.400e+08,-65.8031
8.412e+08,-61.2125
8.425e+08,-56.6187
8.438e+08,-61.925
8.450e+08,-67.2281
8.463e+08,-62.9031
8.475e+08,-58.575
8.488e+08,-58.5219
8.500e+08,-58.4656
8.513e+08,-57.1562
8.525e+08,-55.8438
8.538e+08,-58.2344
8.550e+08,-60.6219
8.563e+08,-60.6219
8.575e+08,-60.6219
8.588e+08,-57.9906
8.600e+08,-55.3563
8.613e+08,-57.3875
8.625e+08,-59.4156
8.638e+08,-61.0375
8.650e+08,-62.6562
8.662e+08,-60.1781
8.675e+08,-57.7
8.688e+08,-57.3219
8.700e+08,-56.9406
8.712e+08,-60.9031
8.725e+08,-64.8625
8.738e+08,-64.1406
8.750e+08,-63.4188
8.762e+08,-64.6344
8.775e+08,-65.85
8.788e+08,-59.5063
8.800e+08,-53.1594
8.813e+08,-52.2219
8.825e+08,-51.2844
8.838e+08,-53.8937
8.850e+08,-56.5
8.863e+08,-55.0344
8.875e+08,-53.5656
8.888e+08,-53.1719
8.900e+08,-52.7781
8.913e+08,-60.4219
8.925e+08,-68.0656
8.938e+08,-64.3563
8.950e+08,-60.6469
8.963e+08,-60.2375
8.975e+08,-59.8281
8.988e+08,-63.4219
9.000e+08,-67.0156
9.012e+08,-63.6938
9.025e+08,-60.3687
9.038e+08,-59.2875
9.050e+08,-58.2062
9.062e+08,-58.5031
9.075e+08,-58.7969
9.088e+08,-62.0938
9.100e+08,-65.3875
9.112e+08,-63.7563
9.125e+08,-62.125
9.138e+08,-59.0438
9.150e+08,-55.9594
9.163e+08,-57.6469
9.175e+08,-59.3344
9.188e+08,-60.9531
9.200e+08,-62.5688
9.213e+08,-64.2531
9.225e+08,-65.9375
9.238e+08,-61.0406
9.250e+08,-56.1406
9.263e+08,-55.3469
9.275e+08,-54.55
9.288e+08,-54.3781
9.300e+08,-54.2031
9.313e+08,-52.6219
9.325e+08,-51.0375
9.338e+08,-51.8188
9.350e+08,-52.5969
9.363e+08,-54.425
9.375e+08,-56.25
9.388e+08,-54.3281
9.400e+08,-52.4062
9.412e+08,-54.0719
9.425e+08,-55.7344
9.438e+08,-53.2094
9.450e+08,-50.6812
9.462e+08,-53.5938
9.475e+08,-56.5031
9.488e+08,-55.1844
9.500e+08,-53.8656
9.513e+08,-53.6781
9.525e+08,-53.4875
9.538e+08,-53.7125
9.550e+08,-53.9375
9.563e+08,-51.5438
9.575e+08,-49.1469
9.588e+08,-49.4156
9.600e+08,-49.6844
9.613e+08,-51.2031
9.625e+08,-52.7188
9.638e+08,-56.9406
9.650e+08,-61.1625
9.663e+08,-58.0438
9.675e+08,-54.9219
9.688e+08,-52.0656
9.700e+08,-49.2094
9.713e+08,-50.1469
9.725e+08,-51.0812
9.738e+08,-57.9344
9.750e+08,-64.7875
9.762e+08,-60.2938
9.775e+08,-55.7969
9.788e+08,-56.3094
9.800e+08,-56.8188
9.812e+08,-59.6313
9.825e+08,-62.4438
9.838e+08,-61.2969
9.850e+08,-60.15
9.862e+08,-65.8
9.875e+08,-71.45
9.888e+08,-69.9844
9.900e+08,-68.5187
9.913e+08,-64.4969
9.925e+08,-60.475
9.938e+08,-61.6437
9.950e+08,-62.8125
9.963e+08,-63.2938
9.975e+08,-63.7719
9.988e+08,-59.7219
1.000e+09,-55.6688
1.001e+09,-56.5031
1.003e+09,-57.3344
1.004e+09,-58.8406
1.005e+09,-60.3438
1.006e+09,-56.7375
1.008e+09,-53.1313
1.009e+09,-52.2719
1.010e+09,-51.4094
1.011e+09,-54.9813
1.013e+09,-58.5531
1.014e+09,-57.6812
1.015e+09,-56.8062
1.016e+09,-57.8656
1.018e+09,-58.925
1.019e+09,-62.3719
1.020e+09,-65.8156
1.021e+09,-62.7719
1.022e+09,-59.725
1.024e+09,-58.4312
1.025e+09,-57.1375
1.026e+09,-55.9469
1.028e+09,-54.7563
1.029e+09,-52.7687
1.030e+09,-50.7781
1.031e+09,-52.6125
1.033e+09,-54.4469
1.034e+09,-61.7938
1.035e+09,-69.1406
1.036e+09,-64.1688
1.038e+09,-59.1969
1.039e+09,-59.475
1.040e+09,-59.75
1.041e+09,-59.9719
1.043e+09,-60.1938
1.044e+09,-62.0281
1.045e+09,-63.8625
1.046e+09,-67.6094
1.048e+09,-71.3563
1.049e+09,-65.1937
1.050e+09,-59.0312
1.051e+09,-59.325
1.053e+09,-59.6187
1.054e+09,-59.625
1.055e+09,-59.6281
1.056e+09,-57.6625
1.058e+09,-55.6938
1.059e+09,-59.9969
1.060e+09,-64.2969
1.061e+09,-62.0125
1.062e+09,-59.7281
1.064e+09,-61.3219
1.065e+09,-62.9125
1.066e+09,-64.1094
1.068e+09,-65.3063
1.069e+09,-62.4531
1.070e+09,-59.6
1.071e+09,-57.0531
1.073e+09,-54.5063
1.074e+09,-57.2563
1.075e+09,-60.0031
1.076e+09,-62.2219
1.078e+09,-64.4375
1.079e+09,-64.5812
1.080e+09,-64.725
1.081e+09,-61.075
1.082e+09,-57.425
1.084e+09,-58.5562
1.085e+09,-59.6875
1.086e+09,-57.8406
1.088e+09,-55.9937
1.089e+09,-60.3281
1.090e+09,-64.6625
1.091e+09,-62.5969
1.092e+09,-60.5312
1.094e+09,-60.875
1.095e+09,-61.2188
1.096e+09,-61.3781
1.098e+09,-61.5344
1.099e+09,-62.8531
1.100e+09,-64.1688
1.101e+09,-64.0938
1.103e+09,-64.0156
1.104e+09,-62.5
1.105e+09,-60.9844
1.106e+09,-58.5406
1.108e+09,-56.0969
1.109e+09,-57.25
1.110e+09,-58.4031
1.111e+09,-57.4312
1.112e+09,-56.4594
1.114e+09,-55.9531
1.115e+09,-55.4438
1.116e+09,-56.0031
1.118e+09,-56.5625
1.119e+09,-58.6187
1.120e+09,-60.675
1.121e+09,-66.0438
1.122e+09,-71.4094
1.124e+09,-69.825
1.125e+09,-68.2406
1.126e+09,-64.9031
1.128e+09,-61.5656
1.129e+09,-59.6969
1.130e+09,-57.8281
1.131e+09,-56.3188
1.132e+09,-54.8094
1.134e+09,-54.9344
1.135e+09,-55.0562
1.136e+09,-56.7
1.138e+09,-58.3406
1.139e+09,-58.8594
1.140e+09,-59.375
1.141e+09,-65.575
1.143e+09,-71.775
1.144e+09,-69.6312
1.145e+09,-67.4875
1.146e+09,-63.4312
1.148e+09,-59.375
1.149e+09,-55.7844
1.150e+09,-52.1938
1.151e+09,-51.9844
1.152e+09,-51.7719
1.154e+09,-55.5312
1.155e+09,-59.2906
1.156e+09,-60.1437
1.158e+09,-60.9937
1.159e+09,-60.0063
1.160e+09,-59.0156
1.161e+09,-59.4281
1.162e+09,-59.8406
1.164e+09,-61.3438
1.165e+09,-62.8469
1.166e+09,-60.8406
1.168e+09,-58.8312
1.169e+09,-56.7938
1.170e+09,-54.7531
1.171e+09,-58.4656
1.172e+09,-62.175
1.174e+09,-61.0938
1.175e+09,-60.0125
1.176e+09,-57.5969
1.178e+09,-55.1812
1.179e+09,-56.3594
1.180e+09,-57.5344
1.181e+09,-58.725
1.183e+09,-59.9125
1.184e+09,-58.1063
1.185e+09,-56.2969
1.186e+09,-56.0938
1.188e+09,-55.8906
1.189e+09,-56.6281
1.190e+09,-57.3625
1.191e+09,-57.3969
1.192e+09,-57.4281
1.194e+09,-58.9062
1.195e+09,-60.3813
1.196e+09,-59.3062
1.198e+09,-58.2281
1.199e+09,-57.8156
1.200e+09,-57.4
1.201e+09,-61.7219
1.202e+09,-66.0406
1.204e+09,-60.0812
1.205e+09,-54.1187
1.206e+09,-54.3625
1.208e+09,-54.6063
1.209e+09,-58.4438
1.210e+09,-62.2812
1.211e+09,-59.0469
1.213e+09,-55.8125
1.214e+09,-55.2781
1.215e+09,-54.7437
1.216e+09,-57.6531
1.218e+09,-60.5625
1.219e+09,-59.0156
1.220e+09,-57.4656
1.221e+09,-56.7563
1.222e+09,-56.0469
1.224e+09,-61.7938
1.225e+09,-67.5406
1.226e+09,-70.2469
1.228e+09,-72.9531
1.229e+09,-66.0406
1.230e+09,-59.1281
1.231e+09,-55.9312
1.232e+09,-52.7344
1.234e+09,-52.8656
1.235e+09,-52.9969
1.236e+09,-53.8031
1.238e+09,-54.6094
1.239e+09,-57.4062
1.240e+09,-60.2031
1.241e+09,-62.2344
1.242e+09,-64.2656
1.244e+09,-65.0062
1.245e+09,-65.7438
1.246e+09,-66.7969
1.248e+09,-67.8469
1.249e+09,-57.6812

